Country,Year,antibiotic_use,GDP_per_capita_usd,Health_Expenditure_Percent_GDP,Resistance_Prevalence_Percent,Population
ARMENIA,2016,9.66,3524.4248,3.66,NULL,2992300
ARMENIA,2017,12.39,3869.0537,3.6,NULL,2979400
ARMENIA,2018,12.72,4196.0056,4.1,NULL,2969000
ARMENIA,2019,11.85,4597.2289,4.28,NULL,2962500
ARMENIA,2020,18.27,4268.6809,5.34,NULL,2961500
ARMENIA,2021,14.47,4685.18,5.35,NULL,2962300
ARMENIA,2022,9.65,6571.9745,5.96,NULL,2969200
ARMENIA,2023,13.88,8125.274,6.75,NULL,2964300
AUSTRIA,2016,11.47,45061.4994,46.13,NULL,8736668
AUSTRIA,2017,11.99,47163.7426,47.1,NULL,8797566
AUSTRIA,2018,10.77,51194.075,49.39,NULL,8840521
AUSTRIA,2019,12.05,49885.9947,53.37,NULL,8879920
AUSTRIA,2020,9.24,48716.4099,52.63,NULL,8916864
AUSTRIA,2021,9.27,53648.7191,55.31,NULL,8955797
AUSTRIA,2022,10.89,52176.6649,65.2,NULL,9041851
AUSTRIA,2023,11.74,56033.5738,58.52,NULL,9131761
BANGLADESH,2016,23.81,1649.2838,33.21,13.7,160811932
BANGLADESH,2016,23.81,1649.2838,33.21,39.7,160811932
BANGLADESH,2017,20.97,1811.0822,39.31,58.7,162186147
BANGLADESH,2018,19.77,1965.2437,42.18,31.2,163523103
BANGLADESH,2019,24.32,2129.799,44.79,48.3,164913055
BANGLADESH,2020,24.9,2248.8508,47.84,17.1,166298024
BANGLADESH,2021,55.37,2482.8492,51.01,5.4,167658854
BANGLADESH,2022,48.92,2716.4859,58.54,7.3,169384897
BANGLADESH,2023,32.15,2551.0177,61.09,65.8,171466990
BANGLADESH,2023,32.15,2551.0177,61.09,42.1,171466990
BELARUS,2016,17.13,5039.7756,3.61,NULL,9469379
BELARUS,2017,20.12,5785.5449,2.97,NULL,9458989
BELARUS,2018,19.09,6360.0375,3.32,NULL,9438785
BELARUS,2019,22.64,6837.7734,3.5,NULL,9419758
BELARUS,2020,25.93,6542.8558,4,NULL,9379952
BELARUS,2021,19.7,7489.7189,4.2,NULL,9302585
BELARUS,2022,16.77,7994.6481,4.84,NULL,9228071
BELARUS,2023,20.42,7896.7539,5.29,NULL,9178298
BELGIUM,2016,24.31,41854.5498,44.42,NULL,11331422
BELGIUM,2017,22.89,44035.3239,45.43,NULL,11375158
BELGIUM,2018,22.41,47487.21,47.84,NULL,11427054
BELGIUM,2019,21.51,46716.6227,51.77,NULL,11488980
BELGIUM,2020,16.83,45906.2876,50.33,NULL,11538604
BELGIUM,2021,17.62,51658.2383,51.45,NULL,11586195
BELGIUM,2022,20.68,50822.2519,57.44,NULL,11680210
BELGIUM,2023,20.93,54690.0943,54.05,NULL,11787423
BENIN,2016,21.93,1010.5339,27.35,NULL,11697842
BENIN,2017,27.37,1054.9741,28.25,NULL,12039780
BENIN,2018,23.17,1151.741,28.15,NULL,12383347
BENIN,2019,18.09,1130.8214,33.22,NULL,12726755
BENIN,2020,14.15,1200.1943,28.37,NULL,13070169
BENIN,2021,17.43,1318.6516,32.55,NULL,13413417
BENIN,2022,21.82,1266.4271,34.04,NULL,13759501
BENIN,2023,22.48,1394.1778,33.88,NULL,14111034
BHUTAN,2019,11.78,3576.8799,1.02,7,764824
BHUTAN,2019,11.78,3576.8799,1.02,72.4,764824
BHUTAN,2020,9.47,3191.6691,1.16,6.2,770006
BHUTAN,2021,9.58,3570.6126,1.34,16,775442
BHUTAN,2022,12.77,3711.3277,1.04,34.1,780914
BHUTAN,2023,12.15,3839.4093,1.54,78.3,786385
"BRUNEI DARUSSALAM",2023,9.3,32890.5492,6.66,NULL,458949
"BURKINA FASO",2017,19.51,709.0915,39.52,NULL,19894407
"BURKINA FASO",2018,21.04,777.4656,42.94,NULL,20438288
"BURKINA FASO",2019,18.45,764.8531,38.92,NULL,20961952
"BURKINA FASO",2020,20.17,825.237,41.05,NULL,21478690
"BURKINA FASO",2021,18.45,895.5353,54.29,NULL,21995243
"BURKINA FASO",2022,20.1,836.1183,57.22,NULL,22509038
"BURKINA FASO",2023,20.24,882.6898,56.76,NULL,23025776
CANADA,2022,14.79,56256.8007,64.83,62.9,38935934
CANADA,2022,14.79,56256.8007,64.83,58.1,38935934
CANADA,2022,14.79,56256.8007,64.83,46.8,38935934
CANADA,2022,14.79,56256.8007,64.83,77.1,38935934
CANADA,2023,14.4,54220.3285,62.55,79.3,40083484
CANADA,2023,14.4,54220.3285,62.55,84.2,40083484
CANADA,2023,14.4,54220.3285,62.55,20.2,40083484
CANADA,2023,14.4,54220.3285,62.55,60.2,40083484
"CHINA, HONG KONG SPECIAL ADMINISTRATIVE REGION",2021,13.65,NULL,NULL,NULL,NULL
"CHINA, HONG KONG SPECIAL ADMINISTRATIVE REGION",2022,14.11,NULL,NULL,NULL,NULL
"CHINA, HONG KONG SPECIAL ADMINISTRATIVE REGION",2023,17.32,NULL,NULL,NULL,NULL
COLOMBIA,2018,22.27,6816.9682,4.98,71.1,49024465
COLOMBIA,2019,19.81,6472.5454,5.2,36.9,49907985
COLOMBIA,2020,22.3,5339.6871,5.04,64.3,50629997
COLOMBIA,2021,26.12,6222.6216,4.65,66.8,51188173
COLOMBIA,2022,18.38,6680.4451,5.61,29.9,51737944
COLOMBIA,2023,22.68,7000.8366,5.06,9.6,52321152
"COTE D'IVOIRE",2021,16.53,2455.9813,78.98,NULL,29639736
"COTE D'IVOIRE",2022,19.67,2333.3713,92.4,NULL,30395002
"COTE D'IVOIRE",2023,10.15,2554.673,86.15,NULL,31165654
CROATIA,2016,19.68,12821.1738,7.96,NULL,4106867
CROATIA,2017,19.83,13902.631,8.41,NULL,4041407
CROATIA,2018,20.35,15460.4183,9.03,NULL,3988775
CROATIA,2019,20.55,15563.8167,10.25,NULL,3949390
CROATIA,2020,17.29,14808.462,10.4,NULL,3914206
CROATIA,2021,18.34,17789.9305,10.95,NULL,3878981
CROATIA,2022,20.42,18466.0955,13.84,NULL,3855641
CROATIA,2023,21.48,21865.4563,13.44,NULL,3859686
CYPRUS,2016,28.82,24715.1543,15.96,NULL,1237112
CYPRUS,2017,29.31,26696.9902,16.49,NULL,1254275
CYPRUS,2018,28.04,29599.9863,17.73,NULL,1270737
CYPRUS,2019,30.39,29703.0527,20.21,NULL,1286671
CYPRUS,2020,29.42,28649.0156,20.93,NULL,1302247
CYPRUS,2021,25.59,33734.0352,24.83,NULL,1317309
CYPRUS,2022,34.13,33894.4492,31.18,NULL,1331370
CZECHIA,2019,17.38,24062.719,17.51,NULL,10671870
CZECHIA,2020,13.91,23472.8915,18.05,NULL,10697858
CZECHIA,2021,14.06,27696.462,21.06,NULL,10505772
CZECHIA,2022,17.31,28282.2237,25.38,NULL,10672118
CZECHIA,2023,18.91,31591.0568,24.31,NULL,10864042
DENMARK,2016,17.08,54500.926,55.32,NULL,5728010
DENMARK,2017,16.31,57521.5515,56.24,NULL,5764980
DENMARK,2018,15.63,61324.7665,58.34,NULL,5793636
DENMARK,2019,15.38,59404.2663,62.33,NULL,5814422
DENMARK,2020,14.32,60985.4886,60.59,NULL,5831404
DENMARK,2021,14.44,69727.9874,65.3,NULL,5856733
DENMARK,2022,15.13,68091.3191,74.66,NULL,5903037
DENMARK,2023,16.14,68453.8769,64.56,NULL,5946952
EGYPT,2020,28.66,NULL,NULL,NULL,NULL
EGYPT,2021,30.51,NULL,NULL,NULL,NULL
EGYPT,2022,31.02,NULL,NULL,NULL,NULL
EGYPT,2023,29.32,NULL,NULL,NULL,NULL
ESTONIA,2016,11.71,18666.3737,11.56,NULL,1315790
ESTONIA,2017,11.82,20851.5223,12.26,NULL,1317384
ESTONIA,2018,11.94,23618.1361,13.5,NULL,1321977
ESTONIA,2019,11.96,24021.2501,15.53,NULL,1326898
ESTONIA,2020,10.64,23933.9939,15.99,NULL,1329522
ESTONIA,2021,10.24,27953.767,17.89,NULL,1330932
ESTONIA,2022,12.41,28451.1478,20.91,NULL,1348840
ESTONIA,2023,12.85,30133.3045,19.99,NULL,1370286
ETHIOPIA,2020,10.51,905.3132,25.94,18.9,118917671
ETHIOPIA,2021,12.6,910.9479,28.28,32.9,122138588
ETHIOPIA,2022,11.32,1011.0733,26.07,23.5,125384287
ETHIOPIA,2023,10.92,NULL,27.07,53.7,128691692
FINLAND,2016,16.42,43451.2562,41.28,NULL,5495303
FINLAND,2017,14.93,46085.0175,41.09,NULL,5508214
FINLAND,2018,14.61,49654.2497,42.36,NULL,5515525
FINLAND,2019,13.95,48358.1808,45.21,NULL,5521606
FINLAND,2020,11.3,48828.6847,44.6,NULL,5529543
FINLAND,2021,10.79,53099.1351,47.36,NULL,5541017
FINLAND,2022,11.97,50440.5602,52.62,NULL,5556106
FINLAND,2023,12.43,52821.5114,49.02,NULL,5583911
FRANCE,2016,25.81,37024.2157,41.99,66.8,66724104
FRANCE,2017,24.88,38687.1626,42.64,21.1,66918020
FRANCE,2018,25.38,41418.1766,44.17,35.6,67158348
FRANCE,2019,25.09,40408.2849,46.68,46,67382061
FRANCE,2020,20.37,39169.8606,45.09,32.5,67601110
FRANCE,2021,21.67,43725.1,47.48,62.1,67842811
FRANCE,2022,24.44,41082.8119,53.77,81.1,68065015
FRANCE,2023,24.28,44690.9345,48.65,72.7,68287487
GABON,2020,15.78,6605.8035,2.06,NULL,2322539
GABON,2021,18.74,8181.4091,2.25,NULL,2376722
GABON,2023,11.26,8071.3978,2.47,NULL,2484789
GEORGIA,2016,22.37,4143.4013,2.93,NULL,3727505
GEORGIA,2017,25.06,4418.7521,3.19,NULL,3728004
GEORGIA,2018,20.75,4804.0546,3.02,NULL,3726549
GEORGIA,2019,16.41,4741.2833,3.3,NULL,3720161
GEORGIA,2020,14.42,4300.857,3.06,NULL,3722716
GEORGIA,2021,24.85,5083.607,3.52,NULL,3708610
GEORGIA,2022,19.88,6729.8466,4.14,NULL,3712502
GEORGIA,2023,24.27,8283.6696,4.78,NULL,3715483
GERMANY,2016,12.85,42961.0357,46.27,NULL,82348669
GERMANY,2017,12.56,45526.6,47.47,58.1,82657002
GERMANY,2018,11.71,48874.8595,50.65,35.6,82905782
GERMANY,2019,11.42,47623.8656,55.08,53,83092962
GERMANY,2020,9.06,47379.7652,54.89,13.3,83160871
GERMANY,2021,8.24,52265.6542,59.32,33.6,83196078
GERMANY,2022,10.25,49686.1155,66.38,31.5,83797985
GERMANY,2023,13.48,53940.4073,61.82,36.9,83901923
HONDURAS,2019,6.52,2502.3274,1.78,NULL,9943633
HONDURAS,2020,6.09,2307.6149,1.84,NULL,10119640
HONDURAS,2021,4.56,2735.1475,2.13,NULL,10289877
HONDURAS,2022,3.56,3003.29,2.54,NULL,10463872
HONDURAS,2023,5.66,3227.4576,2.51,NULL,10644851
HUNGARY,2016,14.96,13215.8605,8.71,31.3,9759755
HUNGARY,2017,15.13,14736.1668,9.14,17.1,9726756
HUNGARY,2017,15.13,14736.1668,9.14,42.2,9726756
HUNGARY,2018,15.42,16605.0571,9.85,41.5,9706964
HUNGARY,2019,15.04,17012.8599,10.8,31.8,9694824
HUNGARY,2020,11.85,16386.9309,10.54,34.1,9670419
HUNGARY,2021,12.58,19030.6281,11.73,57.2,9630932
HUNGARY,2022,14.97,18483.6367,13.82,68.7,9605074
HUNGARY,2023,14.67,22312.179,12.24,8.1,9592186
ICELAND,2016,18.07,61987.9264,43.04,NULL,335439
ICELAND,2017,20.05,72010.149,50.54,NULL,343400
ICELAND,2018,19.73,74452.1891,59.92,NULL,352721
ICELAND,2019,18.63,68452.2362,62.8,NULL,360563
ICELAND,2020,16.1,59023.5663,59.12,NULL,366463
ICELAND,2021,16.2,69178.4047,56.93,NULL,372520
ICELAND,2022,18.02,75121.0152,67.22,NULL,382003
ICELAND,2023,18.06,79960.0962,68.52,NULL,393349
INDONESIA,2023,26.16,4876.3077,1.27,17.9,281190067
"IRAN (ISLAMIC REPUBLIC OF)",2020,51.55,NULL,NULL,NULL,NULL
"IRAN (ISLAMIC REPUBLIC OF)",2021,60.39,NULL,NULL,NULL,NULL
"IRAN (ISLAMIC REPUBLIC OF)",2022,67.68,NULL,NULL,NULL,NULL
"IRAN (ISLAMIC REPUBLIC OF)",2023,65.48,NULL,NULL,NULL,NULL
IRELAND,2016,21.93,64192.9418,45.76,NULL,4762722
IRELAND,2017,20.86,72198.1077,47.26,NULL,4827445
IRELAND,2018,22.33,80738.9629,50.1,NULL,4898022
IRELAND,2019,22.68,81810.1926,51.87,NULL,4976456
IRELAND,2020,18.55,86622.5067,54.63,NULL,5039747
IRELAND,2021,17.74,103961.9764,60.98,NULL,5110585
IRELAND,2022,22.94,105234.5116,67.64,NULL,5212836
IRELAND,2023,22.77,103887.8004,64.48,NULL,5307600
ITALY,2016,26.26,31391.5693,26.76,20.9,60115223
ITALY,2017,22.95,32844.1157,27,9.4,60002252
ITALY,2018,23.57,34904.1082,28.1,77.7,60148658
ITALY,2019,23.99,33812.7887,30.03,45.1,59729081
ITALY,2020,20.53,32091.4867,29.11,16.6,59438851
ITALY,2021,19.67,36852.5425,30.62,84.7,59133173
ITALY,2022,24.03,35653.9042,34,72.6,59013667
ITALY,2023,25.15,39065.4244,31.35,NULL,58993475
JORDAN,2017,43.38,4065.6163,2.78,NULL,10234226
JORDAN,2018,36.27,4145.4399,2.89,NULL,10462306
JORDAN,2019,29.56,4170.1144,2.89,NULL,10671891
JORDAN,2020,27.96,4022.0401,2.95,NULL,10865228
JORDAN,2021,27.48,4183.5,2.86,NULL,11066356
JORDAN,2022,34.27,4332.2516,3.01,NULL,11256263
JORDAN,2023,36.3,4466.0831,2.95,NULL,11439213
KENYA,2018,66.6,1836.4528,66.47,77.4,50207107
KENYA,2019,30.49,1960.4081,75.28,64.5,51202827
KENYA,2020,14.04,1927.6646,85.65,56.3,52217334
KENYA,2021,18.8,2061.3562,86.59,35.7,53219166
KUWAIT,2022,23.01,39981.7691,17.89,NULL,4589643
KUWAIT,2023,32.51,34075.849,17,NULL,4853420
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",2019,22.25,NULL,NULL,NULL,NULL
